metabolite,Super pathway,Sub pathway,Kegg pathways,Kegg pathway classes,Chemical family
alpha-ketoglutarate,Energy,TCA Cycle,"Alanine, aspartate and glutamate metabolism;Biosynthesis of alkaloids derived from histidine and purine;Biosynthesis of amino acids;Carbon fixation pathways in prokaryotes;Proximal tubule bicarbonate reclamation;Citrate cycle (TCA cycle);Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid;HIF-1 signaling pathway;Lysine degradation;Taurine and hypotaurine metabolism;Biosynthesis of various secondary metabolites - part 3;Histidine metabolism;Biosynthesis of terpenoids and steroids;C5-Branched dibasic acid metabolism;Biosynthesis of plant secondary metabolites;Central carbon metabolism in cancer;Arginine biosynthesis;2-Oxocarboxylic acid metabolism;Pentose and glucuronate interconversions;Lysine biosynthesis;Biosynthesis of plant hormones;Butanoate metabolism;Biosynthesis of alkaloids derived from terpenoid and polyketide;GABAergic synapse;D-Glutamine and D-glutamate metabolism;Glyoxylate and dicarboxylate metabolism;Bile secretion;Biosynthesis of phenylpropanoids;Carbon metabolism;Furfural degradation;Biosynthesis of alkaloids derived from shikimate pathway;Ascorbate and aldarate metabolism;Glucagon signaling pathway",Amino acid metabolism;Biosynthesis of other secondary metabolites;Excretory system;Endocrine system;Chemical structure transformation maps;Metabolism of other amino acids;Nervous system;Global and overview maps;Xenobiotics biodegradation and metabolism;Digestive system;Signal transduction;Cancer: overview;Energy metabolism;Carbohydrate metabolism,Keto acids and derivatives
alpha-tocopherol,Cofactors and Vitamins,Tocopherol Metabolism,Vitamin digestion and absorption,Digestive system,Prenol lipids
amoxicillin,Xenobiotics,Drug - Antibiotic,,,Lactams
andro steroid monosulfate C19H28O6S (1)*,Lipid,Androgenic Steroids,,,Steroids and steroid derivatives
"androstenediol (3beta,17beta) disulfate (2)",Lipid,Androgenic Steroids,,,Steroids and steroid derivatives
androsterone glucuronide,Lipid,Androgenic Steroids,Steroid hormone biosynthesis,Lipid metabolism,Steroids and steroid derivatives
androsterone sulfate,Lipid,Androgenic Steroids,,,Steroids and steroid derivatives
anserine,Amino Acid,Histidine Metabolism,Histidine metabolism;beta-Alanine metabolism,Amino acid metabolism;Metabolism of other amino acids,Peptidomimetics
arabinose,Carbohydrate,Pentose Metabolism,,,Organooxygen compounds
arabitol/xylitol,Carbohydrate,Pentose Metabolism,Riboflavin metabolism;ABC transporters;Pentose and glucuronate interconversions,Metabolism of cofactors and vitamins;Membrane transport;Carbohydrate metabolism,Organooxygen compounds
arabonate/xylonate,Carbohydrate,Pentose Metabolism,Pentose and glucuronate interconversions,Carbohydrate metabolism,Organooxygen compounds
argininate*,Amino Acid,Urea cycle; Arginine and Proline Metabolism,,,Organooxygen compounds
arginine,Amino Acid,Urea cycle; Arginine and Proline Metabolism,"Amoebiasis;Amyotrophic lateral sclerosis (ALS);Monobactam biosynthesis;Biosynthesis of amino acids;Aminoacyl-tRNA biosynthesis;Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid;Biosynthesis of various secondary metabolites - part 3;Biosynthesis of plant secondary metabolites;D-Arginine and D-ornithine metabolism;Central carbon metabolism in cancer;Arginine biosynthesis;ABC transporters;Clavulanic acid biosynthesis;Arginine and proline metabolism;Protein digestion and absorption;Chagas disease (American trypanosomiasis);mTOR signaling pathway",Amino acid metabolism;Biosynthesis of other secondary metabolites;Translation;Chemical structure transformation maps;Metabolism of other amino acids;Membrane transport;Global and overview maps;Neurodegenerative disease;Digestive system;Signal transduction;Cancer: overview;Infectious disease: parasitic,Carboxylic acids and derivatives
argininosuccinate,Amino Acid,Urea cycle; Arginine and Proline Metabolism,,,Carboxylic acids and derivatives
ascorbic acid 2-sulfate,Cofactors and Vitamins,Ascorbate and Aldarate Metabolism,,,Dihydrofurans
ascorbic acid 3-sulfate*,Cofactors and Vitamins,Ascorbate and Aldarate Metabolism,,,Dihydrofurans
asparagine,Amino Acid,Alanine and Aspartate Metabolism,"Mineral absorption;Alanine, aspartate and glutamate metabolism;Biosynthesis of amino acids;Aminoacyl-tRNA biosynthesis;Cyanoamino acid metabolism;Biosynthesis of plant secondary metabolites;Central carbon metabolism in cancer;Protein digestion and absorption",Amino acid metabolism;Translation;Chemical structure transformation maps;Metabolism of other amino acids;Global and overview maps;Digestive system;Cancer: overview,Carboxylic acids and derivatives
aspartate,Amino Acid,Alanine and Aspartate Metabolism,"Bacterial chemotaxis;Monobactam biosynthesis;Alanine, aspartate and glutamate metabolism;Glycine, serine and threonine metabolism;Biosynthesis of amino acids;Aminoacyl-tRNA biosynthesis;Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid;Biosynthesis of various secondary metabolites - part 3;Histidine metabolism;Cyanoamino acid metabolism;Cysteine and methionine metabolism;Nicotinate and nicotinamide metabolism;Biosynthesis of plant secondary metabolites;Carbon fixation in photosynthetic organisms;Two-component system;Central carbon metabolism in cancer;Arginine biosynthesis;2-Oxocarboxylic acid metabolism;ABC transporters;Lysine biosynthesis;Pantothenate and CoA biosynthesis;beta-Alanine metabolism;Biosynthesis of plant hormones;Protein digestion and absorption;Neuroactive ligand-receptor interaction;Carbon metabolism",Signaling molecules and interaction;Amino acid metabolism;Biosynthesis of other secondary metabolites;Translation;Metabolism of cofactors and vitamins;Chemical structure transformation maps;Metabolism of other amino acids;Membrane transport;Global and overview maps;Cell motility;Digestive system;Signal transduction;Cancer: overview;Energy metabolism,Carboxylic acids and derivatives
azelate (C9-DC),Lipid,"Fatty Acid, Dicarboxylate",,,Fatty Acyls
behenoyl sphingomyelin (d18:1/22:0)*,Lipid,Sphingomyelins,,,Sphingolipids
beta-alanine,Nucleotide,"Pyrimidine Metabolism, Uracil containing",Pantothenate and CoA biosynthesis;beta-Alanine metabolism;Protein digestion and absorption;Propanoate metabolism;Neuroactive ligand-receptor interaction;Pyrimidine metabolism,Signaling molecules and interaction;Nucleotide metabolism;Metabolism of cofactors and vitamins;Metabolism of other amino acids;Digestive system;Carbohydrate metabolism,Carboxylic acids and derivatives
beta-citrylglutamate,Amino Acid,Glutamate Metabolism,"Alanine, aspartate and glutamate metabolism",Amino acid metabolism,Carboxylic acids and derivatives
beta-guanidinopropanoate,Xenobiotics,Food Component/Plant,,,Organonitrogen compounds
beta-hydroxyisovalerate,Amino Acid,"Leucine, Isoleucine and Valine Metabolism","Valine, leucine and isoleucine degradation",Amino acid metabolism,Fatty Acyls
beta-hydroxyisovaleroylcarnitine,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",,,
betaine,Amino Acid,"Glycine, Serine and Threonine Metabolism","Glycine, serine and threonine metabolism;ABC transporters",Amino acid metabolism;Membrane transport,Carboxylic acids and derivatives
betaine aldehyde,Amino Acid,"Glycine, Serine and Threonine Metabolism","Glycine, serine and threonine metabolism",Amino acid metabolism,Organonitrogen compounds
butyrate/isobutyrate (4:0),Lipid,Short Chain Fatty Acid,Carbohydrate digestion and absorption;Protein digestion and absorption;Butanoate metabolism,Digestive system;Carbohydrate metabolism,Fatty Acyls
butyrylcarnitine (C4),Lipid,Fatty Acid Metabolism (also BCAA Metabolism),,,Fatty Acyls
C-glycosyltryptophan,Amino Acid,Tryptophan Metabolism,,,Indoles and derivatives
cadaverine,Amino Acid,Lysine Metabolism,"Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid;Lysine degradation;Biosynthesis of plant secondary metabolites;Protein digestion and absorption;Glutathione metabolism;Tropane, piperidine and pyridine alkaloid biosynthesis",Amino acid metabolism;Biosynthesis of other secondary metabolites;Chemical structure transformation maps;Metabolism of other amino acids;Digestive system,Organonitrogen compounds
carboxyethyl-GABA,Amino Acid,Glutamate Metabolism,,,Carboxylic acids and derivatives
carnitine,Lipid,Carnitine Metabolism,,,Organonitrogen compounds
catechol sulfate,Xenobiotics,Benzoate Metabolism,,,Organic sulfuric acids and derivatives
chiro-inositol,Lipid,Inositol Metabolism,,,
cholate,Lipid,Primary Bile Acid Metabolism,Primary bile acid biosynthesis;Secondary bile acid biosynthesis;Bile secretion,Lipid metabolism;Digestive system,Steroids and steroid derivatives
cholesterol sulfate,Lipid,Sterol,Steroid hormone biosynthesis,Lipid metabolism,Steroids and steroid derivatives
choline,Lipid,Phospholipid Metabolism,"Glycine, serine and threonine metabolism;Cholinergic synapse;Choline metabolism in cancer;Glycerophospholipid metabolism;ABC transporters;Bile secretion",Amino acid metabolism;Membrane transport;Nervous system;Lipid metabolism;Digestive system;Cancer: overview,Organonitrogen compounds
phosphocholine,Lipid,Phospholipid Metabolism,Choline metabolism in cancer;Glycerophospholipid metabolism,Lipid metabolism;Cancer: overview,Organonitrogen compounds
cinnamoylglycine,Xenobiotics,Food Component/Plant,,,Carboxylic acids and derivatives
"cis-3,4-methyleneheptanoylcarnitine",Lipid,"Fatty Acid Metabolism (Acyl Carnitine, Medium Chain)",,,
"cis-3,4-methyleneheptanoylglycine",Lipid,Fatty Acid Metabolism (Acyl Glycine),,,Carboxylic acids and derivatives
cis-4-decenoylcarnitine (C10:1),Lipid,"Fatty Acid Metabolism (Acyl Carnitine, Monounsaturated)",,,Fatty Acyls
cis-urocanate,Amino Acid,Histidine Metabolism,,,Azoles
citalopram N-oxide*,Xenobiotics,Drug - Psychoactive,Drug metabolism - cytochrome P450,Xenobiotics biodegradation and metabolism,Benzene and substituted derivatives
citalopram propionate*,Xenobiotics,Drug - Psychoactive,Drug metabolism - cytochrome P450,Xenobiotics biodegradation and metabolism,Isocoumarans
citalopram/escitalopram,Xenobiotics,Drug - Psychoactive,,,Benzene and substituted derivatives
citraconate/glutaconate,Energy,TCA Cycle,"C5-Branched dibasic acid metabolism;2-Oxocarboxylic acid metabolism;Valine, leucine and isoleucine biosynthesis",Amino acid metabolism;Global and overview maps;Carbohydrate metabolism,Fatty Acyls
citrate,Energy,TCA Cycle,"Alanine, aspartate and glutamate metabolism;Biosynthesis of alkaloids derived from histidine and purine;Biosynthesis of amino acids;Carbon fixation pathways in prokaryotes;Citrate cycle (TCA cycle);Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid;Biosynthesis of various secondary metabolites - part 3;Biosynthesis of terpenoids and steroids;Biosynthesis of plant secondary metabolites;Two-component system;Central carbon metabolism in cancer;2-Oxocarboxylic acid metabolism;Taste transduction;Biosynthesis of plant hormones;Biosynthesis of alkaloids derived from terpenoid and polyketide;Glyoxylate and dicarboxylate metabolism;Biosynthesis of phenylpropanoids;Biosynthesis of siderophore group nonribosomal peptides;Carbon metabolism;Biosynthesis of alkaloids derived from shikimate pathway;Glucagon signaling pathway",Amino acid metabolism;Biosynthesis of other secondary metabolites;Endocrine system;Chemical structure transformation maps;Metabolism of terpenoids and polyketides;Sensory system;Global and overview maps;Signal transduction;Cancer: overview;Energy metabolism;Carbohydrate metabolism,Carboxylic acids and derivatives
citrulline,Amino Acid,Urea cycle; Arginine and Proline Metabolism,Biosynthesis of amino acids;Biosynthesis of various secondary metabolites - part 3;Arginine biosynthesis,Amino acid metabolism;Biosynthesis of other secondary metabolites;Global and overview maps,Carboxylic acids and derivatives
cortolone glucuronide (1),Lipid,Corticosteroids,,,Steroids and steroid derivatives
cotinine,Xenobiotics,Tobacco Metabolite,,,Pyridines and derivatives
cotinine N-oxide,Xenobiotics,Tobacco Metabolite,,,Pyridines and derivatives
creatine,Amino Acid,Creatine Metabolism,"Glycine, serine and threonine metabolism;Arginine and proline metabolism",Amino acid metabolism,Carboxylic acids and derivatives
creatinine,Amino Acid,Creatine Metabolism,Arginine and proline metabolism,Amino acid metabolism,Carboxylic acids and derivatives
cyclic adenosine diphosphate-ribose,Nucleotide,"Purine Metabolism, Adenine containing",Salivary secretion;Oxytocin signaling pathway;Pancreatic secretion;Calcium signaling pathway,Endocrine system;Digestive system;Signal transduction,Organooxygen compounds
cystathionine,Amino Acid,"Methionine, Cysteine, SAM and Taurine Metabolism","Glycine, serine and threonine metabolism;Biosynthesis of amino acids;Cysteine and methionine metabolism",Amino acid metabolism;Global and overview maps,Carboxylic acids and derivatives
cysteine,Amino Acid,"Methionine, Cysteine, SAM and Taurine Metabolism","Glycine, serine and threonine metabolism;Biosynthesis of amino acids;Aminoacyl-tRNA biosynthesis;Sulfur metabolism;Taurine and hypotaurine metabolism;Sulfur relay system;Cyanoamino acid metabolism;Cysteine and methionine metabolism;Biosynthesis of plant secondary metabolites;Carbapenem biosynthesis;Central carbon metabolism in cancer;Thiamine metabolism;Ferroptosis;Penicillin and cephalosporin biosynthesis;Pantothenate and CoA biosynthesis;Protein digestion and absorption;Glutathione metabolism;Carbon metabolism","Amino acid metabolism;Biosynthesis of other secondary metabolites;Translation;Metabolism of cofactors and vitamins;Chemical structure transformation maps;Metabolism of other amino acids;Folding, sorting and degradation;Global and overview maps;Cell growth and death;Digestive system;Cancer: overview;Energy metabolism",Carboxylic acids and derivatives
cysteine-glutathione disulfide,Amino Acid,Glutathione Metabolism,,,Carboxylic acids and derivatives
cysteinylglycine,Amino Acid,Glutathione Metabolism,Glutathione metabolism,Metabolism of other amino acids,Carboxylic acids and derivatives
cysteinylglycine disulfide*,Amino Acid,Glutathione Metabolism,,,Carboxylic acids and derivatives
cystine,Amino Acid,"Methionine, Cysteine, SAM and Taurine Metabolism",Cysteine and methionine metabolism;Ferroptosis;ABC transporters;Protein digestion and absorption,Amino acid metabolism;Membrane transport;Cell growth and death;Digestive system,Carboxylic acids and derivatives
cytidine 2' or 3'-monophosphate (2' or 3'-CMP),Nucleotide,"Pyrimidine Metabolism, Cytidine containing",Pyrimidine metabolism,Nucleotide metabolism,Organooxygen compounds
CDP-choline,Lipid,Phospholipid Metabolism,Choline metabolism in cancer;Glycerophospholipid metabolism,Lipid metabolism;Cancer: overview,Pyrimidine nucleotides
cytosine,Nucleotide,"Pyrimidine Metabolism, Cytidine containing",Pyrimidine metabolism,Nucleotide metabolism,Diazines
decanoylcarnitine (C10),Lipid,"Fatty Acid Metabolism (Acyl Carnitine, Medium Chain)",,,Fatty Acyls
dehydroepiandrosterone sulfate (DHEA-S),Lipid,Androgenic Steroids,Steroid hormone biosynthesis;Bile secretion,Lipid metabolism;Digestive system,Steroids and steroid derivatives
deoxycarnitine,Lipid,Carnitine Metabolism,,,Fatty Acyls
desmethylcitalopram*,Xenobiotics,Drug - Psychoactive,Drug metabolism - cytochrome P450,Xenobiotics biodegradation and metabolism,Benzene and substituted derivatives
dexpanthenol,Xenobiotics,Chemical,,,Fatty Acyls
dextromethorphan,Xenobiotics,Drug - Respiratory,,,Morphinans
diacetylspermidine*,Amino Acid,Polyamine Metabolism,,,Carboximidic acids and derivatives
diethanolamine,Xenobiotics,Chemical,Glycerophospholipid metabolism,Lipid metabolism,Organonitrogen compounds
diglycerol,Xenobiotics,Chemical,,,Glycerolipids
dihydrocaffeate sulfate (2),Xenobiotics,Food Component/Plant,,,Phenylpropanoic acids
dihydroorotate,Nucleotide,"Pyrimidine Metabolism, Orotate containing",,,Carboxylic acids and derivatives
dihydroxyacetone phosphate (DHAP),Carbohydrate,"Glycolysis, Gluconeogenesis, and Pyruvate Metabolism",Galactose metabolism;Inositol phosphate metabolism;Glycerolipid metabolism;Biosynthesis of amino acids;Glycolysis / Gluconeogenesis;Nicotinate and nicotinamide metabolism;Carbon fixation in photosynthetic organisms;Glycerophospholipid metabolism;Pentose and glucuronate interconversions;Methane metabolism;Propanoate metabolism;Fructose and mannose metabolism;Carbon metabolism,Metabolism of cofactors and vitamins;Global and overview maps;Lipid metabolism;Energy metabolism;Carbohydrate metabolism,Organooxygen compounds
dimethylarginine (ADMA + SDMA),Amino Acid,Urea cycle; Arginine and Proline Metabolism,,,Carboxylic acids and derivatives
dimethylglycine,Amino Acid,"Glycine, Serine and Threonine Metabolism","Glycine, serine and threonine metabolism",Amino acid metabolism,Carboxylic acids and derivatives
dimethylmalonic acid,Lipid,"Fatty Acid, Dicarboxylate",,,Carboxylic acids and derivatives
diphenhydramine,Xenobiotics,Drug - Respiratory,,,Benzene and substituted derivatives
dopamine 3-O-sulfate,Amino Acid,Tyrosine Metabolism,,,Organic sulfuric acids and derivatives
dopamine 4-sulfate,Amino Acid,Tyrosine Metabolism,,,Phenols
doxylamine,Xenobiotics,Drug - Respiratory,,,Benzene and substituted derivatives
EDTA,Xenobiotics,Chemical,,,Carboxylic acids and derivatives
eicosanoylsphingosine (d20:1)*,Lipid,Sphingosines,,,Sphingolipids
erythritol,Xenobiotics,Food Component/Plant,ABC transporters,Membrane transport,Organooxygen compounds
erythronate*,Carbohydrate,Aminosugar Metabolism,,,Organooxygen compounds
estriol 16-glucuronide,Lipid,Estrogenic Steroids,Steroid hormone biosynthesis,Lipid metabolism,Steroids and steroid derivatives
estriol 3-sulfate,Lipid,Estrogenic Steroids,,,Steroids and steroid derivatives
estriol-3-glucuronide,Lipid,Estrogenic Steroids,,,Steroids and steroid derivatives
ethyl alpha-glucopyranoside,Xenobiotics,Food Component/Plant,,,Organooxygen compounds
ethyl beta-glucopyranoside,Xenobiotics,Food Component/Plant,,,Organooxygen compounds
ethylmalonate,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",,,Fatty Acyls
etiocholanolone glucuronide,Lipid,Androgenic Steroids,,,Steroids and steroid derivatives
eugenol sulfate,Xenobiotics,Food Component/Plant,,,Organic sulfuric acids and derivatives
ferulic acid 4-sulfate,Xenobiotics,Food Component/Plant,,,Cinnamic acids and derivatives
ferulylglycine (1),Xenobiotics,Food Component/Plant,,,Carboxylic acids and derivatives
ferulylglycine (2),Xenobiotics,Food Component/Plant,,,Carboxylic acids and derivatives
formiminoglutamate,Amino Acid,Histidine Metabolism,Histidine metabolism,Amino acid metabolism,Carboxylic acids and derivatives
fructose,Carbohydrate,"Fructose, Mannose and Galactose Metabolism",,,Organooxygen compounds
Isobar: hexose diphosphates,Carbohydrate,"Glycolysis, Gluconeogenesis, and Pyruvate Metabolism",Starch and sucrose metabolism,Carbohydrate metabolism,Organooxygen compounds
fructosyllysine,Amino Acid,Lysine Metabolism,Phosphotransferase system (PTS),Membrane transport,Carboxylic acids and derivatives
fumarate,Energy,TCA Cycle,"Alanine, aspartate and glutamate metabolism;Biosynthesis of alkaloids derived from histidine and purine;Oxidative phosphorylation;Carbon fixation pathways in prokaryotes;Citrate cycle (TCA cycle);Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid;Biosynthesis of terpenoids and steroids;Nicotinate and nicotinamide metabolism;Biosynthesis of plant secondary metabolites;Styrene degradation;Two-component system;Central carbon metabolism in cancer;Arginine biosynthesis;Pathways in cancer;Degradation of aromatic compounds;Tyrosine metabolism;Biosynthesis of plant hormones;Butanoate metabolism;Biosynthesis of alkaloids derived from terpenoid and polyketide;Biosynthesis of phenylpropanoids;Phenylalanine metabolism;Pyruvate metabolism;Carbon metabolism;Biosynthesis of alkaloids derived from shikimate pathway;Renal cell carcinoma;Glucagon signaling pathway",Amino acid metabolism;Endocrine system;Metabolism of cofactors and vitamins;Chemical structure transformation maps;Cancer: specific types;Global and overview maps;Xenobiotics biodegradation and metabolism;Signal transduction;Cancer: overview;Energy metabolism;Carbohydrate metabolism,Carboxylic acids and derivatives
furaneol sulfate,Xenobiotics,Food Component/Plant,,,Organic sulfuric acids and derivatives
galactonate,Carbohydrate,"Fructose, Mannose and Galactose Metabolism",Galactose metabolism;Pentose and glucuronate interconversions;Ascorbate and aldarate metabolism,Carbohydrate metabolism,Hydroxy acids and derivatives
galactosylglycerol,Lipid,Galactosyl Glycerolipids,Galactose metabolism;Glycerolipid metabolism,Lipid metabolism;Carbohydrate metabolism,Glycerolipids
gamma-CEHC glucuronide*,Cofactors and Vitamins,Tocopherol Metabolism,,,Organooxygen compounds
gamma-glutamyl-epsilon-lysine,Peptide,Gamma-glutamyl Amino Acid,,,Carboxylic acids and derivatives
gamma-glutamylglutamate,Peptide,Gamma-glutamyl Amino Acid,,,Carboxylic acids and derivatives
gamma-glutamylglutamine,Peptide,Gamma-glutamyl Amino Acid,,,Carboxylic acids and derivatives
gamma-glutamylhistidine,Peptide,Gamma-glutamyl Amino Acid,,,Carboxylic acids and derivatives
gamma-glutamylisoleucine*,Peptide,Gamma-glutamyl Amino Acid,,,Carboxylic acids and derivatives
gamma-glutamylleucine,Peptide,Gamma-glutamyl Amino Acid,,,Carboxylic acids and derivatives
gamma-glutamylphenylalanine,Peptide,Gamma-glutamyl Amino Acid,,,Carboxylic acids and derivatives
gamma-glutamylthreonine,Peptide,Gamma-glutamyl Amino Acid,,,Carboxylic acids and derivatives
gluconate,Xenobiotics,Food Component/Plant,Carbon metabolism;Pentose phosphate pathway,Global and overview maps;Carbohydrate metabolism,Hydroxy acids and derivatives
glucose,Carbohydrate,"Glycolysis, Gluconeogenesis, and Pyruvate Metabolism","Galactose metabolism;Mineral absorption;Amino sugar and nucleotide sugar metabolism;Prolactin signaling pathway;HIF-1 signaling pathway;Glycolysis / Gluconeogenesis;Insulin resistance;Meiosis - yeast;Non-alcoholic fatty liver disease (NAFLD);Type II diabetes mellitus;Phosphotransferase system (PTS);Insulin secretion;Two-component system;Central carbon metabolism in cancer;Insulin signaling pathway;ABC transporters;Taste transduction;Carbohydrate digestion and absorption;FoxO signaling pathway;AGE-RAGE signaling pathway in diabetic complications;Biofilm formation - Vibrio cholerae;Neomycin, kanamycin and gentamicin biosynthesis;Bile secretion;Streptomycin biosynthesis;Starch and sucrose metabolism;Indole alkaloid biosynthesis;AMPK signaling pathway;Pentose phosphate pathway;Glucagon signaling pathway",Cellular community - prokaryotes;Biosynthesis of other secondary metabolites;Endocrine system;Membrane transport;Sensory system;Cell growth and death;Digestive system;Signal transduction;Cancer: overview;Endocrine and metabolic disease;Carbohydrate metabolism,Organooxygen compounds
glucose 6-phosphate,Carbohydrate,"Glycolysis, Gluconeogenesis, and Pyruvate Metabolism","Inositol phosphate metabolism;Prolactin signaling pathway;Biosynthesis of various secondary metabolites - part 2;Insulin resistance;Phosphotransferase system (PTS);Biosynthesis of terpenoids and steroids;Thyroid hormone synthesis;Insulin secretion;Two-component system;Central carbon metabolism in cancer;Carbohydrate digestion and absorption;Biofilm formation - Vibrio cholerae;Neomycin, kanamycin and gentamicin biosynthesis;Streptomycin biosynthesis;Starch and sucrose metabolism",Cellular community - prokaryotes;Biosynthesis of other secondary metabolites;Endocrine system;Chemical structure transformation maps;Membrane transport;Digestive system;Signal transduction;Cancer: overview;Endocrine and metabolic disease;Carbohydrate metabolism,Organooxygen compounds
glucuronate,Carbohydrate,Aminosugar Metabolism,Amino sugar and nucleotide sugar metabolism;Inositol phosphate metabolism;Pentose and glucuronate interconversions;Ascorbate and aldarate metabolism,Carbohydrate metabolism,Organooxygen compounds
glucuronide of C10H14O2 (4)*,Partially Characterized Molecules,Partially Characterized Molecules,,,
glucuronide of C10H18O2 (1)*,Partially Characterized Molecules,Partially Characterized Molecules,,,
glucuronide of C10H18O2 (11)*,Partially Characterized Molecules,Partially Characterized Molecules,,,
glucuronide of C10H18O2 (12)*,Partially Characterized Molecules,Partially Characterized Molecules,,,
glucuronide of C10H18O2 (5)*,Partially Characterized Molecules,Partially Characterized Molecules,,,
glucuronide of C10H18O2 (6)*,Partially Characterized Molecules,Partially Characterized Molecules,,,
glucuronide of C10H18O2 (7)*,Partially Characterized Molecules,Partially Characterized Molecules,,,
glucuronide of C10H18O2 (8)*,Partially Characterized Molecules,Partially Characterized Molecules,,,
glucuronide of C12H20O3 (4)*,Partially Characterized Molecules,Partially Characterized Molecules,,,
glucuronide of C12H22O4 (1)*,Partially Characterized Molecules,Partially Characterized Molecules,,,
glutamate,Amino Acid,Glutamate Metabolism,"Amyotrophic lateral sclerosis (ALS);Porphyrin and chlorophyll metabolism;Alanine, aspartate and glutamate metabolism;Circadian entrainment;Cocaine addiction;Retrograde endocannabinoid signaling;Spinocerebellar ataxia;Biosynthesis of amino acids;Aminoacyl-tRNA biosynthesis;Alcoholism;Proximal tubule bicarbonate reclamation;Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid;Nitrogen metabolism;Taurine and hypotaurine metabolism;Gap junction;Biosynthesis of various secondary metabolites - part 3;Histidine metabolism;Long-term depression;C5-Branched dibasic acid metabolism;Biosynthesis of plant secondary metabolites;Carbapenem biosynthesis;Phospholipase D signaling pathway;Amphetamine addiction;Two-component system;Central carbon metabolism in cancer;Arginine biosynthesis;2-Oxocarboxylic acid metabolism;Ferroptosis;ABC transporters;Nicotine addiction;Taste transduction;Long-term potentiation;Synaptic vesicle cycle;FoxO signaling pathway;Arginine and proline metabolism;Protein digestion and absorption;Butanoate metabolism;Glutamatergic synapse;GABAergic synapse;D-Glutamine and D-glutamate metabolism;Glutathione metabolism;Neomycin, kanamycin and gentamicin biosynthesis;Glyoxylate and dicarboxylate metabolism;Huntington disease;Neuroactive ligand-receptor interaction;Carbon metabolism",Signaling molecules and interaction;Amino acid metabolism;Biosynthesis of other secondary metabolites;Excretory system;Translation;Metabolism of cofactors and vitamins;Chemical structure transformation maps;Metabolism of other amino acids;Environmental adaptation;Substance dependence;Membrane transport;Sensory system;Nervous system;Global and overview maps;Cellular community - eukaryotes;Cell growth and death;Neurodegenerative disease;Digestive system;Signal transduction;Cancer: overview;Energy metabolism;Carbohydrate metabolism,Carboxylic acids and derivatives
"glutamate, gamma-methyl ester",Amino Acid,Glutamate Metabolism,,,Carboxylic acids and derivatives
glutamine,Amino Acid,Glutamate Metabolism,"Mineral absorption;Alanine, aspartate and glutamate metabolism;Biosynthesis of amino acids;Aminoacyl-tRNA biosynthesis;Proximal tubule bicarbonate reclamation;Nitrogen metabolism;Biosynthesis of plant secondary metabolites;Two-component system;Central carbon metabolism in cancer;Arginine biosynthesis;ABC transporters;Protein digestion and absorption;Glutamatergic synapse;Purine metabolism;GABAergic synapse;D-Glutamine and D-glutamate metabolism;Glyoxylate and dicarboxylate metabolism;Pyrimidine metabolism",Amino acid metabolism;Excretory system;Translation;Nucleotide metabolism;Chemical structure transformation maps;Metabolism of other amino acids;Membrane transport;Nervous system;Global and overview maps;Digestive system;Signal transduction;Cancer: overview;Energy metabolism;Carbohydrate metabolism,Carboxylic acids and derivatives
glutamine conjugate of C6H10O2 (1)*,Partially Characterized Molecules,Partially Characterized Molecules,,,
glutamine conjugate of C6H10O2 (2)*,Partially Characterized Molecules,Partially Characterized Molecules,,,
glutamine conjugate of C7H12O2*,Partially Characterized Molecules,Partially Characterized Molecules,,,
glutamine conjugate of C8H12O2 (2)*,Partially Characterized Molecules,Partially Characterized Molecules,,,
glutamine_degradant*,Partially Characterized Molecules,Partially Characterized Molecules,,,
glutaminylleucine,Peptide,Dipeptide,,,Carboxylic acids and derivatives
glutarate (C5-DC),Lipid,"Fatty Acid, Dicarboxylate",Lysine degradation;Fatty acid degradation,Amino acid metabolism;Lipid metabolism,Carboxylic acids and derivatives
glutarylcarnitine (C5-DC),Amino Acid,Lysine Metabolism,,,Fatty Acyls
"glutathione, oxidized (GSSG)",Amino Acid,Glutathione Metabolism,Thyroid hormone synthesis;Ferroptosis;Glutathione metabolism,Endocrine system;Metabolism of other amino acids;Cell growth and death,Carboxylic acids and derivatives
"glutathione, reduced (GSH)",Amino Acid,Glutathione Metabolism,Cysteine and methionine metabolism;Thyroid hormone synthesis;Ferroptosis;ABC transporters;Glutathione metabolism;Bile secretion,Amino acid metabolism;Endocrine system;Metabolism of other amino acids;Membrane transport;Cell growth and death;Digestive system,Carboxylic acids and derivatives
glycerate,Carbohydrate,"Glycolysis, Gluconeogenesis, and Pyruvate Metabolism","Glycine, serine and threonine metabolism;Glycerolipid metabolism;Methane metabolism;Glyoxylate and dicarboxylate metabolism;Carbon metabolism;Pentose phosphate pathway",Amino acid metabolism;Global and overview maps;Lipid metabolism;Energy metabolism;Carbohydrate metabolism,Organooxygen compounds
